number,value,params_colsample_bytree,params_input_magnitude,params_leak_rate,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_res_size,params_spectral_radius,params_subsample,user_attrs_duration_seconds,user_attrs_mean_fold_nrmse_training_range,user_attrs_objective_J,user_attrs_pooled_mae,user_attrs_pooled_nrmse_range,user_attrs_pooled_r2,user_attrs_pooled_rmse,user_attrs_prediction_range_coverage,user_attrs_sd_fold_nrmse_training_range,user_attrs_worst_fold_nrmse_training_range,state
0,0.2922627265251886,0.85,1.0,0.1,0.05,3,1.0,500,0.0001,1.0,20,0.9,0.85,109.24381989985704,0.17652058848275806,0.2922627265251886,4849.808062840352,0.22838257112024002,0.4267275272735237,8486.263566574631,0.7612694080318282,0.2555206216197942,1.0291278613437327,COMPLETE
1,0.2991585591409093,0.9,1.0,0.3,0.03,4,0.5,800,1e-05,0.3,30,1.1,0.9,258.18084899988025,0.18362976238927575,0.2991585591409093,4976.507768888718,0.23396271702439644,0.3983713839241687,8693.611214209624,0.8615617182257241,0.26078336846605144,1.0600042862988488,COMPLETE
2,0.29372411289445083,0.5101537197345953,1.7541346645212776,0.5347070804948526,0.17681300513212714,4,2.012701405986034,752,3.644652482792098e-05,26.03058711556134,22,1.0973313300467673,0.903411663656835,187.70036809984595,0.18018527917680788,0.29372411289445083,4899.058694343229,0.23043314850876545,0.41638683472664373,8562.459136566367,0.9066271998568219,0.2531638575427415,1.0194106710432194,COMPLETE
3,0.30491107214242086,0.7131021406343739,0.7899784047141699,0.5713766333805708,0.07143279630406682,6,0.5799394006124056,1093,0.00036075238942410927,13.15174525504962,30,1.3210780276852485,0.9272810084847992,475.36276400019415,0.18736448656742352,0.30491107214242086,5117.348699293489,0.2389392526899729,0.3725051371610629,8878.529849197344,0.9106442138508551,0.26388727780979176,1.0674301921663258,COMPLETE
4,0.30081456764473846,0.46190385238702564,0.42547866177727733,0.34723086830485805,0.031472129490909696,4,2.942812956611264,244,0.3320354171981084,1.503639980987409,30,1.332805870410922,0.7034215894241039,105.26442770007998,0.1814838634129335,0.30081456764473846,5005.127984312018,0.23494275584755175,0.393320542258753,8730.02759974192,0.7386073739375043,0.2634872471887469,1.0619709272702362,COMPLETE
5,0.30253501109543585,0.4685405419424807,0.325809438161915,0.5520551645606833,0.029222957652901345,5,0.654533252884089,465,0.17224100572176346,0.0760879983147087,10,0.6535919192705708,0.6730559746322679,104.00274919997901,0.18513661858454955,0.30253501109543585,5039.725972212136,0.23740046309162902,0.3805613551260607,8821.351343670429,0.9028829986977739,0.26053819201522727,1.0464666517447578,COMPLETE
6,0.2993368059568249,0.5284843155722522,1.0946345278334146,0.8431757225440191,0.022216320269086976,3,2.0956110642565635,509,6.229214449152028e-06,0.6549011128488197,24,1.3312895665824411,0.80661873140401,120.63214710005559,0.18384737880662372,0.2993368059568249,5047.667328592416,0.23447671230249348,0.3957250311047269,8712.71030474228,0.7428265958122279,0.25944037461732566,1.0502654751706235,COMPLETE
7,0.30467275217529455,0.5419509151051711,1.3936367120404827,0.7745096740500103,0.026287193784865475,2,0.30818860485044414,264,0.0009188610205591764,19.935960469871418,16,0.7919340124727411,0.6594484165871501,57.127502399962395,0.1820736201943763,0.30467275217529455,5171.673513918204,0.23722528138197452,0.38147520577462823,8814.84192330232,0.5070205564862748,0.26978988317328,1.0897283778725675,COMPLETE
8,0.30333352650187906,0.4842821478352174,1.2759202394106268,0.8944055356638774,0.04437430121379882,5,3.8330978305221244,592,1.192727954368058e-06,0.01113877359577184,16,0.42829273573244486,0.7444506727469881,150.26718070008792,0.1862837383509829,0.30333352650187906,5059.429040329222,0.23789262215971946,0.377990354632066,8839.639042018025,0.9211177001801866,0.2617636173686384,1.0559316722223977,COMPLETE
9,0.30921935382687704,0.4126131881725957,1.486431435864482,0.5809912256219474,0.034316545363493184,5,0.7673535139298575,593,0.011615402047821105,0.5740186338756652,26,0.5914163010441648,0.9928912896472828,225.51089480007067,0.18946807090998316,0.30921935382687704,5132.23516481297,0.24223990504122184,0.35504925651085906,9001.175835959555,0.9470719300244518,0.2679177951426209,1.0824228725078229,COMPLETE
10,0.2998715785854845,0.9079162984049027,1.270372089820081,0.7844627126093424,0.02451535922520632,6,2.7183629280711394,501,0.05455678579102517,2.8367122121604824,29,0.33967212627701,0.9733122105644978,285.43891269993037,0.18886322872321082,0.2998715785854845,5151.048986111658,0.23647540357203245,0.3853793844735649,8786.977884874696,0.9433645690237,0.2535847000538082,1.0263614165149408,COMPLETE
11,0.2945261217112542,0.7406016396526415,1.333761831990786,0.11338177211945093,0.015125570536383201,3,0.1793522910128987,607,0.8782834980356522,0.04802391368168541,11,0.534888304532073,0.8851609042581579,89.5392541999463,0.17826508744378392,0.2945261217112542,4948.468833833908,0.23025034251566714,0.4173124451814121,8555.666412273213,0.6917449432027565,0.25710311678234815,1.0357694383763247,COMPLETE
12,0.30604663802225895,0.8296965215361503,1.3689622025686385,0.26045318495470465,0.05010395899911748,6,1.0943330267885385,233,0.2836463359135309,1.996740471745756,14,1.308215919445548,0.7184465008263211,97.17367479996756,0.1875519367566907,0.30604663802225895,5136.494514834469,0.24002766579302248,0.36677540326773905,8918.973217605388,0.8486889793341452,0.26407588891694583,1.0634863423004597,COMPLETE
13,0.2957339169803997,0.9682624065236451,1.6780070341189668,0.6904762493935299,0.016483972798629183,4,0.2408584719032223,476,0.1865021169217367,0.012388798808428476,23,1.1878521046982482,0.7858719614183703,145.0896353998687,0.18397589743048146,0.2957339169803997,5038.9502298987345,0.2321344944415038,0.4077370947936394,8625.677927441333,0.7936543341203223,0.2543976901555835,1.0336162341475323,COMPLETE
14,0.30244820378731196,0.43281799994386194,1.2903284951238208,0.07357940827927578,0.031926282953907044,4,0.16295424914088455,484,0.00400918552178815,0.14278802245977804,24,1.0818083297921421,0.9727008904237721,144.4575288000051,0.1860737155800776,0.30244820378731196,5038.19336388416,0.23733540062854577,0.38090083787842677,8818.93374583314,0.8973482339986356,0.26045121263506466,1.050269247609978,COMPLETE
15,0.29572724574602166,0.7841789704109785,1.4713319100709423,0.27122854906636723,0.07283455816194946,2,1.564566783896843,975,5.159238461810186e-06,0.016396969335196757,19,1.1442951391907143,0.8042733618001947,126.1547215001192,0.17938266893432328,0.29572724574602166,4874.3446486733865,0.23154749408662983,0.41072862755062056,8603.86610659748,0.8883950566583744,0.25671900663756736,1.0311802821573148,COMPLETE
16,0.29835714485402054,0.4249865814732302,0.6766363474211439,0.25824835773318633,0.055777886125911086,4,1.6243776203330444,1155,2.957211276546404e-06,0.05788669542294303,18,0.46544755602965415,0.9543784689085558,198.80058200005442,0.18240037559441996,0.29835714485402054,4988.334822918806,0.23372646885745382,0.39958578165808356,8684.832680007294,0.8590345148441404,0.25852270398626676,1.0427937249266723,COMPLETE
17,0.301247060047974,0.5061834701825624,0.5533574945732763,0.26890464632873323,0.0257493968443029,5,0.4594540211249762,589,0.6754322127583996,0.980862996611573,10,1.001739925368204,0.9624730821282775,121.10830049985088,0.18384998658870147,0.301247060047974,5006.198326806522,0.23631216334865032,0.3862276433251428,8780.912187507807,0.8514696289555133,0.25973958679729486,1.0421768026143918,COMPLETE
18,0.2940548087896834,0.8795178733836464,0.9992072015963969,0.6617785241018372,0.12914907740674908,3,6.73579181531474,1034,1.1125340813867696e-06,2.163538942994242,22,0.6992594928246854,0.929882622691781,182.23709840001538,0.1810074214747679,0.2940548087896834,4987.344105165997,0.23088064779800183,0.4141178897426331,8579.087362160322,0.8589190410133192,0.2526966439667262,1.0176988822770099,COMPLETE
19,0.2974680851679027,0.8908359121888286,1.596002287913755,0.3831173207247005,0.043248536462696004,3,0.63970632072718,696,0.00010892527477706596,0.013429681385299028,19,1.2828095483538802,0.7720054922703937,134.4021549001336,0.1818587193520151,0.2974680851679027,4982.645238059578,0.2328497639726081,0.40408162542897186,8652.255987808714,0.8812069343699075,0.25847328478117826,1.0449263591293763,COMPLETE
20,0.2929938935784595,0.5270032498106269,1.3443488634166556,0.49893237529452705,0.06898813124701901,3,2.3268580254227382,641,3.729332559936314e-05,10.169496108304253,18,0.8649717472522064,0.9090751897329337,119.50920019997284,0.17594410177089168,0.2929938935784595,4777.428173019164,0.2290724400123238,0.4232589599857032,8511.89778732925,0.8337966070178054,0.25568581426454273,1.0240695794243058,COMPLETE
21,0.2882272185220951,0.6280002018711687,1.8438787976545885,0.4666132495126741,0.18397804892118083,4,2.6266691053326228,843,1.9693107217990345e-05,21.693666899016137,21,1.1361314869195236,0.8716623785095537,183.40515110013075,0.1737174195895955,0.2882272185220951,4797.404284098723,0.22560272982755838,0.4405981821504491,8382.969931831707,0.8845294164826593,0.2504979547781469,1.0025124143467827,COMPLETE
22,0.2953428660356879,0.7606073344247581,1.0391293655403473,0.15287616597554143,0.07572712638746695,3,0.4380785217396469,477,0.0002746065706937731,7.074998098087898,17,0.9021563668823478,0.8560749031303667,98.01312840008177,0.17737130199587353,0.2953428660356879,4874.928255896978,0.23096879644015128,0.41367043282695515,8582.362798664284,0.8560548665711398,0.25749627838214634,1.0305978300957286,COMPLETE
23,0.2987455661710218,0.40722564995141686,1.776592598420108,0.6512962842936615,0.04478276677797571,2,2.1271850844601876,702,2.179550084657047e-05,5.3853514288357935,19,0.771704271747414,0.8470321846802435,99.54714370006695,0.17839459814074152,0.2987455661710218,4931.277017383884,0.2330493214991192,0.4030597566207862,8659.671167339971,0.7957192595297853,0.2627849786876106,1.0552483351581683,COMPLETE
24,0.29678512036209137,0.9656807512803285,0.5584907171116709,0.20650778482845733,0.08543344487226544,2,3.664865453330744,303,4.871113616933092e-05,0.16288376383267977,22,0.7764609678274528,0.8520806481514881,70.13056230009533,0.18010651249304138,0.29678512036209137,4929.87053648414,0.2320812155796293,0.4080089326553691,8623.698185895486,0.9957184532276517,0.25881561912984824,1.043783481605684,COMPLETE
25,0.30093793846375916,0.6687599123948518,1.3934933884971998,0.23225847886175965,0.04571018008131167,2,4.771518984672743,591,4.853743645191828e-05,8.499010425128834,25,1.1687119922448184,0.9296190930043502,105.77374760014936,0.18177107875351103,0.30093793846375916,5014.85496316879,0.23506941182751664,0.3926662527250727,8734.733895949168,0.7800743370104957,0.2634741065449701,1.0623972843036311,COMPLETE
26,0.29690073867077194,0.564782031196341,1.562504366109975,0.33050214320760685,0.07344000098391275,4,1.260547880081008,433,2.874722703418981e-05,0.8068757192188085,15,0.8687714616726372,0.9351038248637417,100.34238489996642,0.18239774272624223,0.29690073867077194,4972.56664017332,0.23306310254550636,0.4029891560769905,8660.183244909162,0.8505161840451904,0.25535054450106237,1.0275317560870485,COMPLETE
27,0.3011801529730763,0.8101234002762783,1.5770278679965033,0.3893753346536444,0.1501959781792238,5,4.405890280707198,1055,2.7899419230242472e-05,1.4875032860034993,21,1.1281627642863015,0.8872240796044472,152.6959589999169,0.1817633899944779,0.3011801529730763,4928.356005011218,0.23518224462661833,0.3920830750789004,8738.92654894994,0.8894491099978749,0.2639916333858319,1.0648379351508266,COMPLETE
28,0.29418255189296183,0.5970704175010544,1.2698545813562536,0.587475987142525,0.033756131218516706,5,1.5248393516183563,625,0.0003014253340134562,23.599369565361393,15,1.0612704339833696,0.875535743692622,162.60456869984046,0.1796949470381511,0.29418255189296183,4926.5925735426745,0.23063747457906708,0.41535139122387754,8570.051506148673,0.816289068776344,0.25418030925557905,1.0222803285558182,COMPLETE
29,0.2975016373789872,0.809204177954877,0.8922448593247316,0.16998278378706427,0.020055686272239494,3,0.6634704980469822,459,0.0001848045890376065,0.4428058933909332,22,0.8884809274414387,0.9131218716729113,110.03132320009172,0.17901145063285004,0.2975016373789872,4960.498689485893,0.23193023120765313,0.40877894176620966,8618.087892742473,0.724221080999938,0.2622856246853363,1.0606573128317633,COMPLETE
30,0.28667444865044917,0.6883629643125497,1.7614690963220498,0.39036488119467183,0.16761305466962773,5,2.477320700516147,748,0.0009622971570858446,18.175527204948843,15,1.471494143122884,0.8074133527710705,165.77508149994537,0.17850697052848294,0.28667444865044917,4920.301031042375,0.22604853766646443,0.4383851582381625,8399.53530633662,0.851580076442627,0.24250364393593893,0.9727865730376929,COMPLETE
31,0.2951844661673875,0.6671567577348115,1.6025212797648403,0.09379812195436926,0.17268188625423164,5,0.5679440644248965,968,3.5376311656199296e-05,20.95923830265363,16,1.2698267268963588,0.8198010134724384,189.7740194001235,0.17787966160639174,0.2951844661673875,4879.007334462258,0.230947026583847,0.4137809560584388,8581.553872057064,0.9120477631569525,0.2569497583341621,1.0295473537564668,COMPLETE
