fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_range,r2,median_ape_pct
1,thermal,eff,held_out_temperature,30C,84,8392.411393148142,13893.726841115125,0.3739083795269085,-0.536616770579533,90.26838544687637
2,thermal,eff,held_out_temperature,40C,84,5552.434281224378,10111.542653667982,0.27212212902889926,0.18611528409736677,56.71277710111028
3,thermal,eff,held_out_temperature,50C,84,5063.851967629082,9145.09863833115,0.2461131596709649,0.3342597041238773,62.466652002896694
4,thermal,eff,held_out_temperature,60C,84,6205.92953591404,8959.595024301843,0.2411208810324627,0.36099417618919816,70.00287339655932
