trial,optuna_trial_number,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,objective_J,pooled_nrmse_range,pooled_r2,pooled_rmse,pooled_mae,mean_fold_nrmse_training_range,sd_fold_nrmse_training_range,worst_fold_nrmse_training_range,prediction_range_coverage,duration_seconds,performance_index
31,30,tpe,69,0.9107553727282751,1.7341935739217356,1.299133973125021,5,931,6,0.13546881345335032,1.159865127209094,0.7094667248290754,0.7855075731192769,0.10038551035447883,0.06671486314073463,0.26751419376871305,0.20694034991453766,0.5293202319246988,7689.511258761333,4148.174384142954,0.15821972637440074,0.2422953754167015,0.9891357214791735,0.7275579798600844,426.38579462499183,0.26751419376871305
25,24,tpe,62,0.41135576780749866,1.7202196777937342,1.3239105118932988,5,860,3,0.18936663456392583,0.5020673114846874,0.8259529977163316,0.7056131240618855,0.4086246866375391,0.020349317427243586,0.26898876446528275,0.20932258045015256,0.5184212308111247,7778.030431228862,4300.382656128357,0.1646441392746354,0.23866473606052083,0.981081577189564,0.7163201957042962,352.8089372079994,0.26898876446528275
72,71,tpe,57,0.11951848844495927,1.9026224301638401,0.7494468489332476,3,1072,3,0.03216996518085813,0.19775134158906923,0.7935391381209307,0.516558602319433,0.07973228392668091,0.011777388990024082,0.2703147549490344,0.2081621178934029,0.5237460745433506,7734.9098416522875,4133.224074683791,0.1567164739811355,0.24861054822252596,1.0144321782180332,0.72748421868852,350.6863010410161,0.2703147549490344
66,65,tpe,80,0.3697849716172095,1.5836662406175932,0.5747147288341922,2,1144,2,0.05622791607735306,0.11478907829488623,0.8334448562079637,0.48160148263967706,2.4033516734076446,0.014074533543589575,0.27197633952449457,0.2103240822205783,0.5138019893188746,7815.244339210261,4388.232854833999,0.15975013865914842,0.24660902921566516,1.003341223900749,0.7558525518279072,444.35174037501565,0.27197633952449457
74,73,tpe,80,0.3255010171361876,1.4356520377325759,0.42192042344438413,2,1051,2,0.027787893825730072,0.15783049340735547,0.8410723437413509,0.4296504396049496,1.537270460599898,0.018135005693096288,0.27216376983241636,0.21026198037083765,0.514089063798056,7812.936752154533,4353.422981794434,0.1588916753585614,0.2476071578463149,1.006266774819169,0.7164666572342585,438.6472360420157,0.27216376983241636
89,88,tpe,78,0.6320325536227307,1.5434685593762207,0.8736402056892535,4,990,2,0.07859576530129399,0.5847994020814489,0.936195800789371,0.49735772690222185,1.5938218598523584,0.0358794105778709,0.27221262282311176,0.21010773220744317,0.5148017307041309,7807.205182697175,4269.464558496124,0.15972559301979983,0.2484195624626743,1.0149446627623409,0.8781376402841121,423.3735723750142,0.27221262282311176
77,76,tpe,76,0.45669758349692646,1.4094298140548738,0.6431649549817717,3,895,2,0.06533901153988468,0.1701662565653473,0.9340200859314143,0.5162773316750376,0.4750014012918796,0.010845584988251566,0.27221788857157175,0.20955797371235135,0.5173375050435752,7786.777198790924,4203.561319120871,0.15776175099615047,0.25063965943688166,1.0233347746264636,0.6999305164787601,413.57312599997385,0.27221788857157175
68,67,tpe,53,0.3636697214443235,1.1162340312501178,0.37468712137754684,2,1091,2,0.028200275996401795,0.2514948935286618,0.8917155897268838,0.45552318041089856,0.03062774952915754,0.10442684901804711,0.2736807017317639,0.21051531307385604,0.5129174655182015,7822.350115342896,4232.094791896965,0.15670631371870655,0.25266155463163137,1.0266424655083566,0.6811470020208142,301.46682579201297,0.2736807017317639
13,12,startup_or_anchor,69,0.6454032968559579,1.3519090505614784,1.1539683325247065,4,940,3,0.06624252017690593,0.1182607536770186,0.716808337172194,0.632923362431492,1.3630366052408711,6.752551117803361,0.27370680521819873,0.21166177251625726,0.5075977485611982,7864.950375725649,4278.181786528953,0.16089701938620957,0.24818013080776596,1.010236327623783,0.7349244208570624,930.7476847920043,0.27370680521819873
38,37,tpe,69,0.36043409602954685,1.7518287384188118,1.315176839250028,5,780,3,0.18394003655529234,0.24204330720897732,0.9087617582576601,0.7711415337495673,0.14434065878958835,0.021173606272559712,0.2738904363863611,0.21153939543356007,0.5081669711500731,7860.403075232521,4268.059143944803,0.16218673610056392,0.24940416381120434,1.0229093413085186,0.730573606430442,395.532680416989,0.2738904363863611
55,54,tpe,72,0.5428630297454421,1.5693675117787906,1.2648373550596728,5,745,3,0.19056529403676783,1.053432762330316,0.8981158041733532,0.8917221030761728,2.025624542064816,0.019658929142398914,0.27417669239198816,0.2127509124680716,0.5025172396498504,7905.42075245644,4366.809164493525,0.16552354271940814,0.24570311969566638,1.0081582764440804,0.805488793234192,384.6346236249956,0.27417669239198816
