feature_family,target,protocol,n,mae,rmse,nrmse_range,r2,median_ape_pct
thermal,eff,held_out_repetition,336,3108.1278255831676,5844.154951905941,0.15727806748760892,0.7281236060003141,29.573594153309646
combined,eff,held_out_repetition,336,3107.66901362351,5974.98525004438,0.1607989762638779,0.7158146201639655,30.04243814300875
thermal,eff,held_out_material,336,4428.883810004926,8038.362421971444,0.2163286425320353,0.4856446958376339,50.59519628380471
combined,eff,held_out_material,336,4097.735894118792,7712.835469209306,0.20756805174228185,0.526460522520918,48.41354279049626
thermal,eff,held_out_temperature,336,5583.8528610231515,9807.363807308679,0.26393605909754,0.2343458721487267,70.16176582582486
combined,eff,held_out_temperature,336,7174.355726546444,11449.16899679885,0.30812036795299375,-0.04346043908686337,72.42306467075765
